threshold,approval_rate,default_rate_approved,portfolio_profit_musd
0.05,0.06005992110773075,0.02953261427837699,34.055026840000004
0.075,0.12200924651327788,0.044734846090639026,66.24073584
0.1,0.1954916499897818,0.05956724984713702,101.88397857000001
0.125,0.24509236873460039,0.06945919370698132,124.3864861
0.15,0.3378659756845235,0.08627350281035122,168.74284962000002
0.175,0.4042823926799079,0.09822884774957796,197.86702778
0.2,0.4572570476708272,0.1077534774487606,222.23400661000002
0.225,0.5324842581774575,0.12080813932437814,256.48990799
0.25,0.5851639347422891,0.13041243567018326,278.34947232
0.275,0.6590030114790951,0.14418995181575892,307.49902166
0.3,0.7134101434019303,0.1542051654852405,328.05877752
0.325,0.7760843831094968,0.1666041471551966,346.58654164999996
0.35,0.8154283356661692,0.1748891116638452,356.71689208000004
0.375,0.8383865258482076,0.1799170300053351,360.98458903000005
0.4,0.8823171037360078,0.18989734333824257,368.27774676999996
0.425,0.899539602299675,0.19402239725660397,370.41489
0.45,0.9251622381343482,0.20041469996769926,374.20023754
0.475,0.9307822519385673,0.20190562989353328,374.35717598
0.5,0.9478196659995912,0.206703592430693,374.21664617
0.525,0.9535264381644244,0.20838413432084388,374.03685572
0.55,0.9712039361304229,0.21379822370797982,373.3123731
0.575,0.972551582665294,0.21428897104738873,372.40587743000003
0.6,0.9829355944490072,0.2176858606087115,371.74324838
